num_episodes_passed,cumulative_reward,episode_length,avg_reward,unclipped_episode_reward,unclipped_average_reward
140,1.0,204,1.2357142857142858,1.0,1.2357142857142858
141,0.0,168,1.2269503546099292,0.0,1.2269503546099292
142,2.0,296,1.2323943661971832,2.0,1.2323943661971832
143,0.0,172,1.223776223776224,0.0,1.223776223776224
144,0.0,163,1.2152777777777779,0.0,1.215277777777778
145,1.0,240,1.2137931034482761,1.0,1.213793103448276
146,2.0,300,1.219178082191781,2.0,1.219178082191781
147,5.0,429,1.2448979591836737,5.0,1.2448979591836737
148,1.0,204,1.2432432432432434,1.0,1.2432432432432434
149,0.0,169,1.2348993288590606,0.0,1.2348993288590606
150,1.0,198,1.2333333333333336,1.0,1.2333333333333336
151,0.0,161,1.2251655629139075,0.0,1.2251655629139075
152,0.0,168,1.2171052631578949,0.0,1.217105263157895
153,1.0,206,1.215686274509804,1.0,1.215686274509804
154,0.0,170,1.2077922077922079,0.0,1.2077922077922079
155,2.0,302,1.2129032258064516,2.0,1.2129032258064516
av_max_q,0.22065485222265124
156,4.0,428,1.2307692307692308,4.0,1.2307692307692308
157,1.0,233,1.229299363057325,1.0,1.229299363057325
158,2.0,269,1.2341772151898736,2.0,1.2341772151898736
159,0.0,168,1.2264150943396228,0.0,1.2264150943396228
160,1.0,239,1.2250000000000001,1.0,1.225
161,1.0,203,1.2236024844720497,1.0,1.2236024844720497
162,2.0,269,1.228395061728395,2.0,1.228395061728395
163,1.0,227,1.2269938650306746,1.0,1.2269938650306746
164,3.0,361,1.2378048780487803,3.0,1.2378048780487803
165,3.0,345,1.2484848484848483,3.0,1.2484848484848483
166,0.0,172,1.2409638554216866,0.0,1.2409638554216866
167,1.0,209,1.2395209580838322,1.0,1.2395209580838322
168,1.0,203,1.2380952380952379,1.0,1.238095238095238
169,0.0,167,1.2307692307692306,0.0,1.2307692307692306
170,1.0,226,1.2294117647058822,1.0,1.2294117647058822
171,0.0,156,1.2222222222222221,0.0,1.222222222222222
172,4.0,391,1.2383720930232558,4.0,1.2383720930232558
173,2.0,267,1.2427745664739884,2.0,1.2427745664739884
174,0.0,169,1.235632183908046,0.0,1.235632183908046
175,2.0,292,1.24,2.0,1.24
176,0.0,169,1.2329545454545454,0.0,1.2329545454545454
177,0.0,164,1.2259887005649717,0.0,1.2259887005649717
178,2.0,293,1.2303370786516854,2.0,1.2303370786516854
179,1.0,198,1.229050279329609,1.0,1.229050279329609
180,1.0,206,1.2277777777777779,1.0,1.2277777777777779
181,1.0,237,1.2265193370165746,1.0,1.2265193370165746
av_max_q,0.13805693946778774
182,1.0,200,1.2252747252747254,1.0,1.2252747252747254
183,0.0,163,1.2185792349726776,0.0,1.2185792349726776
184,3.0,304,1.2282608695652175,3.0,1.2282608695652175
185,1.0,231,1.2270270270270272,1.0,1.2270270270270272
186,0.0,166,1.2204301075268817,0.0,1.2204301075268817
187,2.0,269,1.2245989304812834,2.0,1.2245989304812834
